City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
257,Prado,BR,79.16,clear sky,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
263,Alenquer,BR,77.34,moderate rain,-1.9417,-54.7383,Detinha Hotel
274,Lucea,JM,77.86,clear sky,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
277,Nelson Bay,AU,76.1,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
279,Karaton,ID,77.95,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
284,Conde,BR,78.26,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
288,Rodrigues Alves,BR,81.27,overcast clouds,-7.738,-72.6509,Pousada Aconchego
292,Flinders,AU,75.06,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
293,Namatanai,PG,80.28,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
294,Carnarvon,AU,77.07,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
304,Cairns,AU,75.15,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
305,Gizo,SB,82.38,light rain,-8.103,156.8419,Imagination Island
312,Inhambane,MZ,75.76,broken clouds,-23.865,35.3833,Oceano
331,Nueve De Julio,AR,83.71,scattered clouds,-35.4444,-60.8831,Grand Hotel Libertad - GHL
341,San Juan Del Sur,NI,84.87,clear sky,11.2529,-85.8705,Nuestra Casa
343,Kirakira,SB,81.48,overcast clouds,-10.4544,161.9205,SanBiz Lodge
352,San Cristobal,VE,78.98,clear sky,7.7669,-72.225,Posada Villaven C.A.
358,Victoria Point,AU,76.51,broken clouds,-27.5833,153.3,Bay Retreat Motel
360,Sao Mateus,BR,79.27,overcast clouds,-18.7161,-39.8589,Hotel Rio Norte
361,Luanda,AO,78.58,overcast clouds,-8.8368,13.2343,Hotel Fórum
363,Alyangula,AU,82.31,light rain,-13.8483,136.4192,Groote Eylandt Lodge
365,Da Nang,VN,75.18,broken clouds,16.0678,108.2208,Sun River Hotel
367,Atar,MR,76.19,overcast clouds,20.5169,-13.0499,Oumou Elghoura
376,Mercedes,AR,84.18,overcast clouds,-34.6515,-59.4307,Posada del Inti Centro
377,Santa Rosa,PH,80.11,clear sky,14.3122,121.1114,Erlyn’s Sta Rosa City Home
378,Emerald,AU,75.34,scattered clouds,-23.5333,148.1667,The Irish Village
379,Sibu,MY,75.51,few clouds,2.3,111.8167,RH HOTEL (4 Star)
382,Bani,DO,85.44,clear sky,18.2833,-70.3333,Hospedaje Henriquez
383,Caravelas,BR,79.68,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
