City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
187,Nouadhibou,MR,2022-01-29 21:09:20,20.931,-17.0347,63.66,78,100,20.65,overcast clouds
188,Sibut,CF,2022-01-29 21:09:21,5.718,19.0739,77.27,21,68,4.63,broken clouds
189,Gabu,GW,2022-01-29 21:09:23,12.2833,-14.2167,82.49,15,46,5.35,scattered clouds
190,Katsuura,JP,2022-01-29 21:09:23,35.1333,140.3,41.18,83,43,14.03,scattered clouds
191,Kavaratti,IN,2022-01-29 21:09:25,10.5669,72.642,80.51,74,75,6.06,broken clouds
192,Bonnyville,CA,2022-01-29 21:09:26,54.2668,-110.735,27.03,91,61,3.04,broken clouds
193,Guerrero Negro,MX,2022-01-29 21:09:27,27.9769,-114.0611,71.19,29,8,12.35,clear sky
194,Eureka,US,2022-01-29 21:09:28,40.8021,-124.1637,57.2,73,4,4.0,clear sky
195,Umm Lajj,SA,2022-01-29 21:09:29,25.0213,37.2685,63.07,49,0,12.21,clear sky
196,Diego De Almagro,CL,2022-01-29 21:09:30,-26.3667,-70.05,76.69,29,0,13.73,clear sky
197,Port Shepstone,ZA,2022-01-29 21:09:31,-30.7414,30.455,73.17,82,97,11.18,overcast clouds
198,Norman Wells,CA,2022-01-29 21:09:32,65.282,-126.8329,-18.67,98,36,2.86,scattered clouds
199,Tuatapere,NZ,2022-01-29 21:09:33,-46.1333,167.6833,57.9,93,100,5.01,moderate rain
200,Cayenne,GF,2022-01-29 21:09:33,4.9333,-52.3333,80.1,77,0,2.3,clear sky
201,Salalah,OM,2022-01-29 21:09:34,17.0151,54.0924,71.69,73,0,1.14,clear sky
202,San Quintin,MX,2022-01-29 21:09:35,30.4833,-115.95,66.65,34,5,8.43,clear sky
203,Laguna,US,2022-01-29 21:04:44,38.421,-121.4238,66.04,49,0,1.99,clear sky
204,Hami,CN,2022-01-29 21:09:11,42.8,93.45,20.19,45,0,4.68,clear sky
205,Kendari,ID,2022-01-29 21:09:37,-3.945,122.4989,75.15,91,100,2.53,overcast clouds
206,Upernavik,GL,2022-01-29 21:07:55,72.7868,-56.1549,1.8,93,100,8.5,overcast clouds
