City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
229,Santa Cruz,BO,2022-01-28 16:13:42,-17.8,-63.1667,84.25,58,75,17.27
230,Port Hardy,CA,2022-01-28 16:13:44,50.6996,-127.4199,45.75,79,100,10.04
231,Horsham,GB,2022-01-28 16:13:46,51.064,-0.3272,49.51,79,20,6.91
232,Kavieng,PG,2022-01-28 16:13:47,-2.5744,150.7967,81.91,77,37,9.13
233,Pontianak,ID,2022-01-28 16:13:48,-0.0333,109.3333,76.98,94,40,0.0
234,Ulsteinvik,NO,2022-01-28 16:13:50,62.3432,5.8487,40.32,83,100,15.99
235,Hobyo,SO,2022-01-28 16:13:50,5.3505,48.5268,77.74,70,61,19.71
236,Tiznit,MA,2022-01-28 16:13:51,29.5833,-9.5,63.63,30,0,35.72
237,Tocopilla,CL,2022-01-28 16:13:51,-22.092,-70.1979,71.15,70,6,6.55
238,Maarianhamina,AX,2022-01-28 16:13:20,60.0973,19.9348,31.86,64,0,10.36
239,Betare Oya,CM,2022-01-28 16:13:52,5.6,14.0833,91.74,13,38,8.5
240,Mount Isa,AU,2022-01-28 16:13:52,-20.7333,139.5,74.97,100,100,6.91
241,Sabha,LY,2022-01-28 16:13:53,27.0377,14.4283,55.65,31,100,6.24
242,Bulgan,MN,2022-01-28 16:13:53,48.8125,103.5347,-8.32,96,28,3.94
243,Nikolayevsk-Na-Amure,RU,2022-01-28 16:13:54,53.1406,140.73,-21.28,98,64,3.69
244,Beira,MZ,2022-01-28 16:13:54,-19.8436,34.8389,80.69,75,50,10.98
245,Aykhal,RU,2022-01-28 16:13:16,66.0,111.5,-15.03,100,8,2.8
246,Morehead,US,2022-01-28 16:13:57,37.2711,-87.1764,37.15,69,100,3.0
247,Cap Malheureux,MU,2022-01-28 16:13:58,-19.9842,57.6142,79.47,70,1,5.01
248,Bengkulu,ID,2022-01-28 16:13:59,-3.8004,102.2655,77.23,84,86,4.09
249,San Patricio,US,2022-01-28 16:14:00,28.017,-97.5169,50.09,73,100,18.88
